grid_id,center_longitude,center_latitude,area_grid,width_degrees,height_degrees,classes_meeting_threshold,total_pixels,coverage_class_1,coverage_class_2,coverage_class_4,coverage_class_5,coverage_class_7,coverage_class_8,coverage_class_0,coverage_class_3,coverage_class_6,coverage_class_9,coverage_class_10,coverage_class_11,coverage_class_12
grid_384,107.9705593963186,14.592726271883473,0.003906240873971554,0.06250029692377268,0.06250056404834581,2,484416,0.014912802219579866,0.006155866032500991,0.00015688994583168186,0.14016671621086008,0.0027249306381292113,0.28681340005284717,0.0,0.05070848196591359,0.4112973147047166,0.00023739926014004493,0.08682619896948078,0.0,0.0
grid_502,107.34718421017556,11.552118618226066,0.0006074083891473176,0.062499851726144584,0.04662392243260527,2,75416,0.11492256285138432,0.10606502598918001,0.07298186061313248,0.0022276440012729396,0.014824440437042537,0.004932640288532937,0.0,0.07865704890208974,0.5721862734698208,0.0027182560729818606,0.030272090803012623,6.629892860931368e-05,0.00014585764294049007
grid_1161,108.15806028824805,14.780225011288517,0.00390624031212922,0.06250029649733335,0.06250056849053642,2,484416,4.335116924296473e-05,0.0015338056546439424,0.0,0.11812574316290131,0.03373959571938169,0.8321958812260536,0.0,0.011430258290395033,0.0004975062755978333,0.0002621713568503105,0.0021716871449332805,0.0,0.0
grid_414,107.8455619206108,14.842727574909674,0.0039062416340815906,0.06250030995879285,0.06250058125455027,2,484416,0.004580773550006606,0.011368328048619368,0.00028694345356057604,0.12198812590831021,0.010877014797199101,0.3440555225260933,0.0,0.08375033029462281,0.40438177103976747,6.193024177566389e-05,0.01864926014004492,0.0,0.0
grid_714,108.5330420280865,12.59272071482947,0.003906236101037307,0.06250020197614958,0.06250044043731151,2,484416,0.055780568767340465,0.035682140969745015,0.007417178623332012,0.12922777117188533,0.02103151010701546,0.10842746730083234,0.0,0.06602383075703527,0.1967048982692562,0.10842953164222487,0.27126271634297794,1.2386048355132779e-05,0.0
grid_392,107.97055991438822,14.655226346412691,0.003906240947610172,0.06250029929464063,0.06250056731115805,2,484416,0.014875644074514466,0.008730099748976086,0.000699811732065002,0.10918508059188796,0.0025123034746994317,0.33290601466508124,0.0,0.02469778042013476,0.30289668384198704,0.0002497853084951777,0.2032467961421588,0.0,0.0
grid_454,107.78306480087784,15.155228513403026,0.003906242262463177,0.06250032413522888,0.06250059961926802,2,484416,0.009008785836966574,0.01449993394107544,0.008176856255780155,0.16532278042013476,0.011731652133703264,0.4555877592812789,0.0,0.10211264698110714,0.1855512617254591,1.4450389747654908e-05,0.047991808693354475,0.0,2.06434139252213e-06
grid_1020,108.34555299283338,13.967722775670984,0.003906238514973529,0.06250025924880731,0.06250051886493146,2,484416,0.00066884661117717,0.0016741808693354473,1.4450389747654908e-05,0.1081714889681596,0.004089460298586339,0.5683689225789404,0.0,0.01716706302021403,0.2922777117188532,0.0005078279825604439,0.007060047562425684,0.0,0.0
grid_1025,108.65805179785045,13.967720428768828,0.0039062372117316052,0.06250024821528655,0.06250050842671584,2,484416,0.0423602853745541,0.2639941702999075,0.37512386048355134,0.013921918351169243,0.0038685757695864713,0.02994120755714097,0.0,0.038943800369929976,0.16445575703527546,0.002625842251288149,0.06474600343506408,0.0,1.8579072532699166e-05
grid_1170,108.15806081343985,14.842725083923217,0.0039062403294765936,0.06250029887456776,0.06250057085285832,2,484416,0.005780155899061963,0.005162917822697847,1.0321706962610648e-05,0.16284557074910821,0.03185898071079403,0.667347899326199,0.0,0.09841334720570749,0.005053507728894174,0.0006378814902893381,0.022889417360285373,0.0,0.0
grid_293,107.72055570576482,14.030227544083925,0.0039062412540551298,0.06250028453662537,0.06250054298744878,2,483720,0.013358967998015382,0.001116348300669809,1.4471181675349375e-05,0.1414702720582155,0.01581700157115687,0.527447697014802,0.0,0.0003617795418837344,0.2194079219383114,0.05073596295377491,0.03026957744149508,0.0,0.0
grid_1013,108.7189386920688,13.904383790151348,0.0036945701101302225,0.06249996106153333,0.06250050306372046,2,458085,0.002894659288123383,0.003798421690297652,0.12381544909787486,0.0194811006690898,0.0004649792069157471,0.4611109291943635,0.0,0.006496610890991846,0.05080279860724538,0.031801958151871375,0.29926978617505484,6.330702817162754e-05,0.0
grid_1110,108.09555792490217,14.46772515447862,0.003906240148612245,0.06250028686865505,0.06250055335535265,2,484416,0.0012386048355132778,0.00010321706962610649,0.00014243955608402695,0.18103035407583565,0.008057124455013873,0.3384859294490686,0.0,0.0025680406922975294,0.4200955377196459,0.00039635354736424893,0.0478823985995508,0.0,0.0
grid_779,108.6580433263504,12.842719923543257,0.0039062358774094906,0.06250020670981371,0.06250044939402599,2,484416,0.042847469943189324,0.015552748051261726,0.1679919738406659,0.08605207094728498,0.028328956929581185,0.1379950290659268,0.0,0.024966144801162635,0.1348427797595455,0.0451120524507861,0.31630251684502575,8.25736557008852e-06,0.0
grid_590,107.90804001075267,11.967724662719727,0.0039062379635491163,0.06250020113922972,0.06250042849261384,2,484416,0.0016039932619896949,0.006444873827454089,4.335116924296473e-05,0.1137968192627824,0.008651654776060246,0.19147592152199763,0.0,0.0020457623199894304,0.5751213832738803,0.015274061963271237,0.08549882745408904,4.335116924296473e-05,0.0
grid_434,107.97055218728673,14.967711355183065,0.0039042994224506565,0.0625003093961567,0.06250058361364985,2,484159,0.0007063795158202161,0.004238277094921297,5.1635929519021645e-05,0.1659351576651472,0.028257246069989403,0.655697818278706,0.0,0.09175085044375918,0.02073079298329681,0.0003428625720063037,0.03228897944683461,0.0,0.0
grid_835,108.6580451427465,13.092720000466963,0.003906236174605455,0.06250021585960042,0.06250046252986863,2,484416,0.018535721363456204,7.018760734575241e-05,0.24447375809221825,0.009157418417228167,0.0003055225260932752,0.29689977209671026,0.0,0.02716053970141366,0.20574464922711058,0.16219736755185626,0.03545506341656758,0.0,0.0
grid_559,107.9705385488004,11.780224197879022,0.0039062372256147317,0.0625001868037458,0.06250041742394785,2,484416,0.1605128649755582,0.009006721495574053,3.096512088783194e-05,0.00837503302946228,0.0023306414321574843,0.4067330558858502,0.0,0.0010734575241115075,0.28770106685163166,0.001193189324877791,0.12303268265292641,8.25736557008852e-06,2.06434139252213e-06
grid_399,107.9080606543182,14.717726916395325,0.0039062412259568205,0.06250030298379272,0.06250057265387277,2,483025,0.00014077946276072666,0.004449045080482376,0.00025671549091661923,0.15147663164432482,0.023369390818280628,0.4003167537912116,0.0,0.035072718803374564,0.3349971533564515,0.00021738005279229854,0.049703431499404795,0.0,0.0
